label,text
Common Cold,"My nose always feels stuffy and congested, and my eyes are always red and itching. I have a feeling of being unwell and fatigued, and I keep hacking up this gunk. I have a scratchy, irritated throat, and I've seen that my neck's bumps are larger than usual."
Arthritis,"Lately, I noticed cough, which is unusual for me."
ALS,"Whenever I rest, the limb weakness seems to intensify."
Allergy,"It started with rash, but now it's spreading."
Multiple Sclerosis,The muscle weakness is affecting my daily life significantly.
Sarcoidosis,"There is a persistent issue with dry cough, and I'm concerned."
Diphtheria,"Lately, I noticed fatigue, which is unusual for me."
Raynaud's Disease,I'm feeling discomfort due to pain in extremities.
Endometriosis,"Lately, I noticed pelvic pain, which is unusual for me."
Peptic Ulcer Disease,"I have changes in my bowel movements, such as constipation and diarrhea. I have a loss of appetite and energy and often feel very fatigued"
Multiple Sclerosis,I've seen signs of muscle weakness along with fatigue.
Acne,"Whenever I rest, the pain seems to intensify."
Multiple Sclerosis,"It started with vision loss, but now it's spreading."
Ebola Virus,"My joints feel stiff and painful, like I have the flu but worse"
Typhoid,"I have been experiencing diarrhea and have had loose, watery stools several times a day. I have lost my appetite and feel nauseated all the time. I am starting to get a mild fever too."
Meniere's Disease,"It started with hearing loss, but now it's spreading."
Migraine,"It started with visual disturbances, but now it's spreading."
Dimorphic Hemorrhoids,I'm having a lot of trouble with my bowel movements lately. It's hard to go and it hurts when I do. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Jaundice,"I've been having pain, and it's been getting worse."
Dimorphic Hemorrhoids,My doctor mentioned that my rash could be related to Dimorphic Hemorrhoids.
Migraine,"Whenever I rest, the visual disturbances seems to intensify."
Chicken Pox,I have seen rashes on my arms and neck and it itches if I scratch them. I've also had a high fever for a few days. I have no idea what is causing it. The itching is causing me a lot of discomforts.
Raynaud's Disease,I have cold fingers and also noticed related problems recently.
Cushing's Syndrome,I have purple stretch marks and also noticed related problems recently.
Graves' Disease,"Whenever I rest, the irregular heartbeat seems to intensify."
Diabetes,"I have blurry vision, and it seems to be getting worse. I'm continuously fatigued and worn out. I also occasionally have acute lightheadedness and vertigo."
Acute Lymphoblastic Leukaemia,When I turn my head quickly my vision gets blurry and I feel like I might faint
Impetigo,"Whenever I rest, the pain seems to intensify."
Sarcoidosis,"There is a persistent issue with chest pain, and I'm concerned."
Tuberculosis,I have chills throughout the day despite the warm weather.
Ehlers-Danlos Syndrome,I'm feeling discomfort due to skin elasticity.
Acne,I've seen signs of rash along with fatigue.
Myasthenia Gravis,I have fatigue and also noticed related problems recently.
Common Cold,The cough is affecting my daily life significantly.
Cervical Spondylosis,I've seen signs of rash along with fatigue.
Chicken Pox,I feel tired every day. There are red spots all over my arms and back and it itches if I touch them. I am really worried and not sure what to do.
Hiv/Aids,My appetite has dropped completely.
Endometriosis,I have infertility and also noticed related problems recently.
Malaria,"I've had intense itching, chills, vomiting, and a high fever. I'm also sweating a lot and have a headache. Nausea and muscle pain have been making me feel miserable."
Sarcoidosis,"Lately, I noticed dry cough, which is unusual for me."
Fungal Infection,"Whenever I rest, the fever seems to intensify."
Myasthenia Gravis,"Whenever I rest, the drooping eyelids seems to intensify."
Arthritis,I have rash and also noticed related problems recently.
Sarcoidosis,The dry cough is affecting my daily life significantly.
Bladder Cancer,My lower belly feels bloated and uncomfortable
Meniere's Disease,My doctor mentioned that my nausea could be related to Meniere's Disease.
Jaundice,"I've felt really scratchy, nauseated, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. I've also been experiencing stomach pain."
Raynaud's Disease,"There is a persistent issue with cold fingers, and I'm concerned."
Acne,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changing a lot."
Graves' Disease,"It started with goiter, but now it's spreading."
Chicken Pox,"I've been having fatigue, and it's been getting worse."
Varicose Veins,I'm feeling discomfort due to fever.
Pneumonia,"I've been having cough, and it's been getting worse."
Lupus,I've seen signs of butterfly rash along with fatigue.
ALS,"I've been having difficulty swallowing, and it's been getting worse."
Fungal Infection,My doctor mentioned that my rash could be related to Fungal Infection.
Urinary Tract Infection,"I have pain in my abdomen, and often get feverish. I have sudden and strong urges to pee. The pain is almost constant, and often increases at night time. My pee almost always has a foul smell"
Bronchial Asthma," I'm so weak and exhausted, and my fever is through the roof. It's been very difficult to manage all of these symptoms, and I've also been coughing up a lot of mucus. I'm becoming so angry over everything."
Diabetes,I'm feeling discomfort due to fatigue.
Lupus,"Lately, I noticed fatigue, which is unusual for me."
Pneumonia,I have pain and also noticed related problems recently.
Chicken Pox,"I have a skin rash that's red and swollen, and it's spreading all over my body. I have a mild fever and it is causing me a lot of discomforts."
Ehlers-Danlos Syndrome,"It started with chronic pain, but now it's spreading."
Parkinson's Disease,My doctor mentioned that my tremors could be related to Parkinson's Disease.
Myasthenia Gravis,"Whenever I rest, the double vision seems to intensify."
Pneumonia,"My fever is really high, and I'm having trouble catching my breath. I'm sweating a lot, feeling cold and tired, and my heart is beating really fast. I also have some brownish phlegm coming up."
Bronchial Asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so drained and tired from having to deal with all of this."
Parkinson's Disease,"Whenever I rest, the slowed movement seems to intensify."
Tuberculosis,I feel pain in my shoulder when I cough hard.
Urinary Tract Infection,"I frequently vomit and get discomfort at my pelvic area. My urine occasionally smells almost unbearably bad, and there is occasionally blood in it. Because of my headaches at times, I have problems falling asleep."
ALS,My doctor mentioned that my difficulty swallowing could be related to ALS.
Arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of American state to run whereas not getting stiff. additionally, walking has been very uncomfortable."
Ebola Virus,"I've been having fever, and it's been getting worse."
Myasthenia Gravis,"There is a persistent issue with difficulty swallowing, and I'm concerned."
Endometriosis,I have fatigue and also noticed related problems recently.
Psoriasis,"Lately, I noticed scaly skin patches, which is unusual for me."
Psoriasis,"It started with joint pain, but now it's spreading."
Cystic Fibrosis,My doctor mentioned that my salty skin could be related to Cystic Fibrosis.
Graves' Disease,"There is a persistent issue with weight loss, and I'm concerned."
ALS,The muscle twitching is affecting my daily life significantly.
Drug Reaction,I've seen signs of fatigue along with fatigue.
Parkinson's Disease,"There is a persistent issue with tremors, and I'm concerned."
Dengue,I'm feeling discomfort due to fever.
Bronchial Asthma,"Doctor Due to a high fever, I haven't been able to breathe via my nose or mouth for a few days and feelinf too tired. Please recommend some medications for me."
Drug Reaction,My doctor mentioned that my pain could be related to Drug Reaction.
Bronchial Asthma,"My persistent cough, breathing problems, and exhaustion have been making things difficult for me. I've been producing copious amounts of thick, mucoid sputum while also having a high fever. I'm currently feeling fairly ill because everything has been so tiring and exhausting."
Meniere's Disease,The hearing loss is affecting my daily life significantly.
Parkinson's Disease,I've seen signs of stiffness along with fatigue.
Raynaud's Disease,"There is a persistent issue with tingling, and I'm concerned."
Peptic Ulcer Disease,I'm feeling discomfort due to rash.
Lupus,"I've been having hair loss, and it's been getting worse."
Myasthenia Gravis,My doctor mentioned that my double vision could be related to Myasthenia Gravis.
Urinary Tract Infection,I occasionally urinate with blood in it and occasionally feel queasy while doing so. Help! I also occasionally get high temps at night and have a terrible odour coming from my pee.
Arthritis,"Recently, the muscles in my neck have become tight and weak. It's difficult for me to run now since my joints are older without getting tight. The act of walking has also been quite unpleasant."
Myasthenia Gravis,The difficulty swallowing is affecting my daily life significantly.
ALS,I've seen signs of slurred speech along with fatigue.
Dimorphic Hemorrhoids,My doctor mentioned that my pain could be related to Dimorphic Hemorrhoids.
Fungal Infection,"Lately, I noticed pain, which is unusual for me."
Varicose Veins,"I've been having fever, and it's been getting worse."
Hepatitis B,I'm feeling discomfort due to cough.
Graves' Disease,"There is a persistent issue with irregular heartbeat, and I'm concerned."
Sarcoidosis,I have chest pain and also noticed related problems recently.
Hiv/Aids,"There is a persistent issue with cough, and I'm concerned."
Myasthenia Gravis,"There is a persistent issue with drooping eyelids, and I'm concerned."
Cushing's Syndrome,My doctor mentioned that my muscle weakness could be related to Cushing's Syndrome.
Jaundice,"I've been feeling scratchy, sick, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additional stomach pain that I've been having"
Bronchial Asthma,"I've got a cough that won't go away, and I'm exhausted. I've been coughing up thick mucous and my fever is also pretty high."
Multiple Sclerosis,The vision loss is affecting my daily life significantly.
Psoriasis,"Whenever I rest, the skin flaking seems to intensify."
Ehlers-Danlos Syndrome,The joint hypermobility is affecting my daily life significantly.
Hypertension,"Whenever I rest, the headaches seems to intensify."
Sjogren's Syndrome,"It started with dry eyes, but now it's spreading."
Drug Reaction,"I've gained a lot of weight and am now quite fat. My appetite varies, and I have desires for various things."
Impetigo,My doctor mentioned that my pain could be related to Impetigo.
Graves' Disease,I'm feeling discomfort due to bulging eyes.
Chronic Kidney Disease,My blood pressure has been hard to control with my usual medication
Peptic Ulcer Disease,I'm feeling discomfort due to fatigue.
Raynaud's Disease,"Whenever I rest, the color changes in fingers seems to intensify."
Sarcoidosis,"There is a persistent issue with shortness of breath, and I'm concerned."
ALS,I'm feeling discomfort due to slurred speech.
Sarcoidosis,"There is a persistent issue with skin lesions, and I'm concerned."
Acute Lymphoblastic Leukaemia,I'm feeling discomfort due to fever.
Ebola Virus,There’s unexplained bleeding from my gums and mouth
Dimorphic Hemorrhoids,I've been having trouble going to the bathroom. It's been really hard to go and it hurts when I do. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Tuberculosis,"Whenever I rest, the coughing blood seems to intensify."
Varicose Veins,My doctor mentioned that my rash could be related to Varicose Veins.
Parkinson's Disease,"Lately, I noticed tremors, which is unusual for me."
Ehlers-Danlos Syndrome,"Whenever I rest, the joint hypermobility seems to intensify."
Sjogren's Syndrome,"I've been having dry mouth, and it's been getting worse."
Migraine,"Whenever I rest, the visual disturbances seems to intensify."
Diphtheria,I feel very fatigued and weak throughout the day
Migraine,"I have been suffering from acid reflux, indigestion, and frequent headaches, as well as distorted vision, excessive hunger, a sore neck, depression, irritability, and visual disturbance."
Cushing's Syndrome,"Lately, I noticed purple stretch marks, which is unusual for me."
Peptic Ulcer Disease,The cough is affecting my daily life significantly.
Malaria,"I have a high temperature, vomiting, chills, and severe itching. In addition, I've been perspiring a lot and have a headache. I've also been bothered by nausea and muscle ache."
Peptic Ulcer Disease,"I occasionally have burning in my upper abdomen throughout the day or at night. I regularly get severe heartburn, indigestion, and nausea."
Allergy,"My throat always tickles, and I'm worn out. Additionally, my skin has started to feel dry. Ocular inflammation occasionally affects me."
Ebola Virus,I vomited blood this morning and feel very cold
Sarcoidosis,My doctor mentioned that my skin lesions could be related to Sarcoidosis.
Drug Reaction,"My entire body itches, and I have rashes on my back and chest. Sometimes my skin might be dry and flaky, which often results in body stains."
Peptic Ulcer Disease,I frequently get swallowing issues and the sensation that food is getting stuck in my throat. I regularly belch and feel bloated. My aftertaste is unpleasant all the time.
Cushing's Syndrome,"There is a persistent issue with thin skin, and I'm concerned."
Tuberculosis,"Lately, I noticed weight loss, which is unusual for me."
Parkinson's Disease,I have impaired balance and also noticed related problems recently.
Varicose Veins,The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run.
Common Cold,"Lately, I noticed pain, which is unusual for me."
Migraine,The aura is affecting my daily life significantly.
Cushing's Syndrome,My doctor mentioned that my weight gain could be related to Cushing's Syndrome.
Drug Reaction,"I'm losing hair, and my hair's texture has considerably altered. My dandruff is becoming worse, and my dry, itchy scalp. My skin is getting quite dry as well."
Gastroesophageal Reflux Disease,"There is a persistent issue with fatigue, and I'm concerned."
Diabetes,I have frequent urination and also noticed related problems recently.
Urinary Tract Infection,"I have to go to the bathroom a lot, but generally only a few drops of urine come out. I have severe stomach pains and an overwhelming want to urinate."
Drug Reaction,"I've noticed a difference in my monthly cycle and an unexpected vaginal discharge. I become irritable every now and again, and my moods swing a lot."
Chicken Pox,I have a high fever and a severe headache. I can't seem to eat anything and feel like vomiting. There are also some red spots developing on my arms. I am really worried.
Cervical Spondylosis,The rash is affecting my daily life significantly.
Arthritis,My doctor mentioned that my pain could be related to Arthritis.
Graves' Disease,"Whenever I rest, the weight loss seems to intensify."
Dimorphic Hemorrhoids,"Whenever I rest, the pain seems to intensify."
Jaundice,"Whenever I rest, the rash seems to intensify."
Parkinson's Disease,My doctor mentioned that my speech changes could be related to Parkinson's Disease.
Hiv/Aids,I'm feeling discomfort due to pain.
Impetigo,"I've been suffering from a high fever for the past few days. Sores are forming around my nose and there are rashes on different parts of my body. The sores are severe, and I'm feeling really uneasy these days."
Hepatitis B,"Whenever I rest, the fever seems to intensify."
Common Cold,"Whenever I rest, the fatigue seems to intensify."
Cystic Fibrosis,My doctor mentioned that my lung infections could be related to Cystic Fibrosis.
Myasthenia Gravis,I've seen signs of drooping eyelids along with fatigue.
Diphtheria,I can't speak clearly due to throat discomfort
Hypertension,"I was in the middle of a meeting when I suddenly developed a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on the discussion since then."
Peptic Ulcer Disease,"My appetite and chronic hunger are both ferocious. My stomach may occasionally ache and spasm. I have gas and bloating after eating, which is really painful."
Acute Lymphoblastic Leukaemia,I've seen signs of rash along with fatigue.
Diphtheria,"Lately, I noticed rash, which is unusual for me."
Impetigo,The rash is affecting my daily life significantly.
Allergy,"It started with pain, but now it's spreading."
Gastroesophageal Reflux Disease,"I regularly wake up with a scratchy voice or a sore throat. My throat is constantly irritated, and I have horrible breath. I frequently throw up."
ALS,"I've been having difficulty swallowing, and it's been getting worse."
Fungal Infection,"I have lots of itchy spots on my skin, and sometimes they turn red or bumpy. There are also some weird patches that are different colors than the rest of my skin, and sometimes I get these weird bumps that look like little balls."
Tuberculosis,I've lost a lot of weight without changing my diet.
Gastroesophageal Reflux Disease,"I don't feel like eating, and swallowing is challenging. Even after little meals, I frequently get this lingering sensation of fullness. My normal symptoms include nausea, heartburn, and tingling in my throat."
Graves' Disease,"I've been having weight loss, and it's been getting worse."
Chicken Pox,The fever is affecting my daily life significantly.
Myasthenia Gravis,"There is a persistent issue with difficulty swallowing, and I'm concerned."
Sjogren's Syndrome,I have joint pain and also noticed related problems recently.
Ebola Virus,"There is a persistent issue with rash, and I'm concerned."
Diphtheria,I've seen signs of cough along with fatigue.
Hepatitis B,I can’t tolerate greasy food anymore.
Common Cold,"Lately, I noticed pain, which is unusual for me."
Pneumonia,"I've been coughing a lot and feeling incredibly chilly and exhausted. I have a pretty high fever, and it's difficult for me to breathe. I've been perspiring a lot and generally feeling weak and ill. I've had some quite thick and black phlegm."
Endometriosis,The pelvic pain is affecting my daily life significantly.
Hypertension,"There is a persistent issue with vision problems, and I'm concerned."
Cushing's Syndrome,"It started with thin skin, but now it's spreading."
Common Cold,"I can't stop sneezing, and I'm exhausted and sick. My throat is really uncomfortable, and there is a lot of junk in my nose and throat. My neck is also swollen and puffy."
Peptic Ulcer Disease,"Both my appetite and ongoing hunger are fierce. There are times when my stomach hurts and cramps. Following a meal, I have very painful gas and bloating."
Multiple Sclerosis,The muscle weakness is affecting my daily life significantly.
Acne,"There is a persistent issue with rash, and I'm concerned."
Dengue,"It started with cough, but now it's spreading."
Drug Reaction,I have rashes on my skin and these flake off from time to time. This leaves me prone to infection. My fingers start twitching and sometimes I experience tremors.
Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling."
Arthritis,I have rash and also noticed related problems recently.
Varicose Veins,I have fatigue and also noticed related problems recently.
Ehlers-Danlos Syndrome,"It started with easy bruising, but now it's spreading."
Meniere's Disease,My doctor mentioned that my hearing loss could be related to Meniere's Disease.
Tuberculosis,My doctor mentioned that my weight loss could be related to Tuberculosis.
Parkinson's Disease,I have stiffness and also noticed related problems recently.
Dimorphic Hemorrhoids,"I've been quite constipated lately, and going to the restroom has been excruciatingly uncomfortable. I've also observed blood in my stool, and my anus has been aggravated."
Drug Reaction,"My hair's texture has significantly changed, and I'm experiencing hair loss. My scalp is dry and itching, and my dandruff is becoming worse. My skin is also becoming really dry."
Varicose Veins,"My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time."
Cystic Fibrosis,"I've been having salty skin, and it's been getting worse."
Cervical Spondylosis,My doctor mentioned that my fatigue could be related to Cervical Spondylosis.
Dengue,I have been experiencing severe joint pain that is making my day very difficult. I feel like vomiting all the time and have a mild headache too.
Dimorphic Hemorrhoids,"I've been having a lot of problems using the restroom recently. It's been excruciatingly uncomfortable, and I've been feeling agony in my anus. My stool has been bloody as well, and my anus has been really inflamed."
Impetigo,"Initially, I developed small red sores near my nose and neck. Now, I am having a high fever and the sores have become more painful and inflamed over the past few days."
Bronchial Asthma,I've seen signs of cough along with fatigue.
Diphtheria,I'm experiencing fever and chills frequently
Impetigo,"I have rashes around my nose, as well as huge red sores. The rash is spreading to other places on my body, as I've seen. In addition, I have a high temperature every night."
Chronic Kidney Disease,I've seen signs of cough along with fatigue.
Acne,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
Sjogren's Syndrome,"Lately, I noticed joint pain, which is unusual for me."
Cystic Fibrosis,I have persistent cough and also noticed related problems recently.
Hypertension,"Headache, chest discomfort, dizziness, lack of balance, and difficulty concentrating are some of the symptoms I've been having."
Cushing's Syndrome,I'm feeling discomfort due to muscle weakness.
Raynaud's Disease,I'm feeling discomfort due to color changes in fingers.
Acute Lymphoblastic Leukaemia,"Lately, I noticed fever, which is unusual for me."
Diphtheria,My doctor mentioned that my cough could be related to Diphtheria.
Cervical Spondylosis,"I have been suffering from back pain, a dry cough, and a lack of strength in my muscles. My neck is sore and I have been feeling dizzy and unsteady on my feet"
Diphtheria,I'm feeling discomfort due to rash.
Diphtheria,The fever is affecting my daily life significantly.
Chronic Kidney Disease,I have fever and also noticed related problems recently.
Acute Lymphoblastic Leukaemia,"I've been having fatigue, and it's been getting worse."
Graves' Disease,I've seen signs of weight loss along with fatigue.
Hypertension,"I have been dealing with a headache and chest pain for a few days now, but today the dizziness and loss of balance became much worse."
Acute Lymphoblastic Leukaemia,"Whenever I rest, the fever seems to intensify."
Drug Reaction,I've seen signs of pain along with fatigue.
Bronchial Asthma,The cough is affecting my daily life significantly.
Peptic Ulcer Disease,I've seen signs of cough along with fatigue.
Dengue,"There is a persistent issue with fever, and I'm concerned."
Dimorphic Hemorrhoids,Lately I've been experiencing constipation and pain during bowel movements. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Typhoid,"Lately, I noticed fatigue, which is unusual for me."
Bladder Cancer,I have cough and also noticed related problems recently.
Cervical Spondylosis,"My muscles haven't been very strong, and I've been experiencing back ache. I've been feeling lightheaded and wobbly on my feet, and my neck hurts."
Arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk."
Arthritis,My neck has been extremely tight and my muscles have been feeling extremely weak. It is difficult for me to move around without becoming stiff due to my swollen joints. Walking has also been extremely uncomfortable.
Endometriosis,"I've been having infertility, and it's been getting worse."
Cushing's Syndrome,My doctor mentioned that my muscle weakness could be related to Cushing's Syndrome.
Bronchial Asthma,I've seen signs of cough along with fatigue.
Parkinson's Disease,The slowed movement is affecting my daily life significantly.
Sarcoidosis,"Lately, I noticed skin lesions, which is unusual for me."
Meniere's Disease,My doctor mentioned that my vertigo could be related to Meniere's Disease.
Hepatitis B,Food seems to lose taste and flavor recently.
Fungal Infection,"Whenever I rest, the pain seems to intensify."
Hypertension,"Along with a headache, chest pain, instability, and balance issues, I've also been feeling dizzy. I also think I'm having problems focusing."
Malaria,I have rash and also noticed related problems recently.
Myasthenia Gravis,"I've been having drooping eyelids, and it's been getting worse."
Common Cold,"My eyes are always red and itchy, and my nose feels all stuffy and congested. I just feel kind of sick and tired all the time, and I keep coughing up all this gunk. My throat feels sore and scratchy, and I've noticed that the bumps on my neck are bigger than usual"
ALS,The slurred speech is affecting my daily life significantly.
Typhoid,"I am experiencing constipation and stomach ache, which has been really difficult. The discomfort has gotten worse, and it is seriously interfering with my everyday life."
Chronic Kidney Disease,"I've been having pain, and it's been getting worse."
Crohn's Disease,I'm feeling discomfort due to diarrhea.
Hypertension,I have vision problems and also noticed related problems recently.
Hepatitis B,I have fever and also noticed related problems recently.
Psoriasis,"Whenever I rest, the itchy red skin seems to intensify."
Gastroesophageal Reflux Disease,The fatigue is affecting my daily life significantly.
Allergy,"I have trouble breathing and get short of breath. I have a dry, hacking cough, itchy eyes, and swelling all over my face and body."
Parkinson's Disease,I've seen signs of impaired balance along with fatigue.
Tuberculosis,I have night sweats and also noticed related problems recently.
Peptic Ulcer Disease,I've seen signs of pain along with fatigue.
Meniere's Disease,My doctor mentioned that my ear pressure could be related to Meniere's Disease.
Endometriosis,I'm feeling discomfort due to fatigue.
Bronchial Asthma,The pain is affecting my daily life significantly.
Urinary Tract Infection,"I've been having cough, and it's been getting worse."
Dimorphic Hemorrhoids,The cough is affecting my daily life significantly.
Cervical Spondylosis,"I have been dealing with back pain, a cough that won't go away, and weakness in my arms and legs. My neck hurts and I have had problems with dizziness and maintaining my balance."
Chronic Kidney Disease,There’s a constant low-level nausea that makes it hard to eat
Raynaud's Disease,I'm feeling discomfort due to numbness.
Tuberculosis,I've had a persistent cough for weeks and occasional blood in my phlegm.
Bladder Cancer,There’s a burning feeling every time I urinate
Jaundice,I've seen signs of pain along with fatigue.
Pneumonia,"I've got a high fever and can't seem to catch my breath. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm. My chest aches, and my heart has been racing rapidly."
Typhoid,"Whenever I rest, the fever seems to intensify."
Common Cold,"I've been wheezing a lot and am generally feeling sick and exhausted. My throat feels really scratchy, and a lot of gross stuff is flowing out of my nose. My neck also feels bloated."
Cervical Spondylosis,"It started with rash, but now it's spreading."
Impetigo,"I am having a high fever. I've had a skin rash on my face, neck and arms. The rash is made up of burning red lesions. I'm concerned about my health."
Parkinson's Disease,"Whenever I rest, the speech changes seems to intensify."
Endometriosis,I've seen signs of infertility along with fatigue.
Pneumonia,"I've been having chills and feeling really worn out, and this cough won't go away. My chest hurts when I cough, and my heart is racing. The mucus I'm bringing up is a gross brownish color."
Arthritis,I'm feeling discomfort due to fatigue.
Varicose Veins,"The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night."
Jaundice,"I have been experiencing itching, vomiting, fatigue, and weight loss. My fever is high and my skin has turned yellow. My urine is dark and I have been experiencing abdominal pain."
Gastroesophageal Reflux Disease,"I have indigestion and heartburn. I frequently vomit everything I eat, and it is hard for me to swallow since food gets caught in my throat. My upper abdomen is in discomfort."
Cervical Spondylosis,"Lately, I noticed cough, which is unusual for me."
Sjogren's Syndrome,"Lately, I noticed fatigue, which is unusual for me."
Bladder Cancer,"Whenever I rest, the cough seems to intensify."
Malaria,"I've had a high fever, chills, and intense itching. In addition, I have a headache and am perspiring a lot. My muscles hurt a lot, and I feel sick."
Varicose Veins,The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time.
Hypertension,My doctor mentioned that my chest discomfort could be related to Hypertension.
Meniere's Disease,The hearing loss is affecting my daily life significantly.
Endometriosis,"There is a persistent issue with fatigue, and I'm concerned."
Raynaud's Disease,"Whenever I rest, the numbness seems to intensify."
Allergy,The pain is affecting my daily life significantly.
Migraine,I've seen signs of aura along with fatigue.
ALS,The slurred speech is affecting my daily life significantly.
Multiple Sclerosis,"Whenever I rest, the numbness seems to intensify."
Diphtheria,I have rash and also noticed related problems recently.
Bronchial Asthma,"Lately, I noticed rash, which is unusual for me."
Pneumonia,I'm having a hard time breathing and I feel really uncomfortable. I'm sweating a lot and there's a lot of phlegm in my throat. My chest hurts and my heart is beating fast. The mucus I'm coughing up is brownish.
Common Cold,"I can't quit sneezing, and my nose is running. I'm also constantly chilly and exhausted, and I've been coughing a lot. My fever is also really high, well above usual."
Raynaud's Disease,"Whenever I rest, the numbness seems to intensify."
Lupus,The joint pain is affecting my daily life significantly.
Typhoid,"I've lost a lot of weight in the past week because I haven't been able to eat much due to nausea and vomiting. This is followed by mild fever, headache and belly pain. I'm really concerned about my health."
Multiple Sclerosis,I've seen signs of muscle weakness along with fatigue.
Common Cold,The cough is affecting my daily life significantly.
Tuberculosis,I’ve developed a pain near my collarbone.
Bladder Cancer,"Lately, I noticed rash, which is unusual for me."
Gastroesophageal Reflux Disease,The pain is affecting my daily life significantly.
Cystic Fibrosis,"It started with digestive issues, but now it's spreading."
Sjogren's Syndrome,"It started with fatigue, but now it's spreading."
Psoriasis,"There is a persistent issue with nail pitting, and I'm concerned."
Lupus,"Whenever I rest, the fatigue seems to intensify."
Chicken Pox,The pain is affecting my daily life significantly.
Meniere's Disease,"It started with ear pressure, but now it's spreading."
Lupus,The hair loss is affecting my daily life significantly.
Impetigo,"It started with cough, but now it's spreading."
Common Cold,I'm feeling discomfort due to fever.
Migraine,"I have been having trouble with my vision, seeing things as distorted and experiencing visual disturbances."
Urinary Tract Infection,The rash is affecting my daily life significantly.
Dimorphic Hemorrhoids,I've been having a really hard time going to the bathroom lately. It's really painful and I'm only able to go every few days. There's also a lot of pain in my anus and around that area. My stool has been really bloody and my anus feels really irritated.
Dimorphic Hemorrhoids,I've been having a really hard time going to the bathroom lately. It's really painful when I try to go and my anus hurts a lot. There's also been some blood in my stool and my anus has been really itchy.
Hepatitis B,"There is a persistent issue with cough, and I'm concerned."
Sarcoidosis,I'm feeling discomfort due to dry cough.
Chicken Pox,"I've had a mild fever for the past few days, and it's starting to worry me. The fever has been accompanied by a severe headache. I feel weak and lethargic."
Peptic Ulcer Disease,"Whenever I rest, the cough seems to intensify."
Meniere's Disease,I'm feeling discomfort due to nausea.
Gastroesophageal Reflux Disease,"Lately, I noticed pain, which is unusual for me."
Hypertension,"Whenever I rest, the chest discomfort seems to intensify."
Arthritis,"Whenever I rest, the fatigue seems to intensify."
Urinary Tract Infection,"Frequent urges to urinate with little output, pain during urination, cloudy or bloody urine, strong or foul-smelling urine, pelvic pain, low fever, nausea and vomiting"
Tuberculosis,My cough sounds deeper and heavier than normal.
Sjogren's Syndrome,The swollen salivary glands is affecting my daily life significantly.
Migraine,"Along with impaired seeing, excessive eating, a sore neck, melancholy, impatience, and constant headaches, I've also been fighting heartburn, acid reflux, and indigestion."
Migraine,"I've been having sensitivity to light, and it's been getting worse."
Cervical Spondylosis,My doctor mentioned that my fever could be related to Cervical Spondylosis.
Cystic Fibrosis,My doctor mentioned that my persistent cough could be related to Cystic Fibrosis.
Acute Lymphoblastic Leukaemia,I keep noticing new bruises on my skin without remembering any injury
Arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
ALS,"There is a persistent issue with muscle cramps, and I'm concerned."
Urinary Tract Infection,"It started with fever, but now it's spreading."
Hiv/Aids,I have chills followed by heavy sweating.
Meniere's Disease,I'm feeling discomfort due to tinnitus.
Bronchial Asthma,I have fatigue and also noticed related problems recently.
Dimorphic Hemorrhoids,I've seen signs of cough along with fatigue.
Cervical Spondylosis,"Back pain, a lingering cough, and muscle weakness have been bothering me. I have issues with dizziness and losing my equilibrium, and my neck hurts."
Graves' Disease,I've seen signs of anxiety along with fatigue.
Raynaud's Disease,I have pain in extremities and also noticed related problems recently.
Pneumonia,"I'm sweating profusely and can't seem to get enough air. My throat is filled with a lot of mucus, and I don't feel good. My heart is pounding, and my chest aches. I'm coughing up reddish-colored mucous."
